12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?35,12420.0,Primitive Type int 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?36,12420.0,Method Call Expr 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?37,12420.0,Name Expr factory 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?38,12420.0,Simple Name getLogger 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?39,12420.0,Binary Expr MULTIPLY 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?40,12420.0,Binary Expr MULTIPLY 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?41,12420.0,Simple Name tagPrefix 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?42,12420.0,Simple Name host 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?43,12420.0,Simple Name port 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?44,12420.0,Simple Name timeout 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?45,12420.0,Simple Name bufferCapacity 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?46,12420.0,Method Declaration 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?47,12420.0,Integer Literal Expr Note Zero  
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?48,12420.0,MULTIPLY
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?49,12420.0,Integer Literal Expr Note Zero  
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?50,12420.0,Binary Expr MULTIPLY 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?51,12420.0,Integer Literal Expr Note Zero  
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?52,12420.0,Integer Literal Expr Note Zero  
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?53,12420.0,Integer Literal Expr Note Zero  
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?54,12420.0,SYNCHRONIZED
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?55,12420.0,Class Or Interface Type FluentLogger 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?56,12420.0,Simple Name getLogger 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?57,12420.0,Parameter String tagPrefix 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?58,12420.0,Parameter String host 
12420.0?src/main/java/org/fluentd/logger/FluentLogger.java?getLogger-FluentLogger-String?59,12420.0,Parameter int port 
